Year,Sightings
1870,1
1890,1
1904,2
1905,1
1907,1
1908,1
1909,1
1910,1
1920,2
1921,1
1925,1
1926,1
1930,2
1932,1
1937,1
1938,1
1940,1
1941,1
1942,1
1943,2
1944,2
1945,1
1947,1
1948,1
1949,3
1950,9
1951,1
1952,1
1953,5
1954,2
1955,3
1956,4
1957,5
1958,5
1959,2
1960,7
1961,8
1962,9
1963,17
1964,12
1965,11
1966,8
1967,18
1968,22
1969,22
1970,50
1971,28
1972,40
1973,43
1974,46
1975,66
1976,57
1977,89
1978,105
1979,71
1980,105
1981,57
1982,69
1983,62
1984,54
1985,63
1986,64
1987,52
1988,51
1989,50
1990,57
1991,58
1992,54
1993,75
1994,74
1995,74
1996,89
1997,111
1998,131
1999,89
2000,198
2001,167
2002,130
2003,152
2004,182
2005,175
2006,175
2007,122
2008,146
2009,129
2010,116
2011,136
2012,191
2013,140
2014,123
2015,85
2016,58
2017,50
2018,33
